occupation1,,,occupation2,,,occupation3,,
 BOOKSTORE PACKER,UNKNOWN,OWN,CHRISTIAN MINISTER,TEACHER,OWN,,,
 SHIRT MAKER,UNKNOWN,OWN,PRESIDENT & MANAGER,MERCHANT,OWN,,,
 BUTCHER SHOP OPERATOR,UNKNOWN,OWN,INTERPRETER,US CITIZEN,OWN,,,
 ASSISTANT,UNKNOWN,OWN,SALESMAN & BUYER,MERCHANT,OWN,,,
INTERPRETER,US CITIZEN,OWN,ACTOR,BONDED TRANSIT/ ENTRY,OWN,,,
MEDICAL DOCTOR,MERCHANT,OWN,LIVE POULTRY SALESMAN,MERCHANT,OWN,,,
BANK BROKER,MERCHANT,OWN,BOOKKEEPER & COLLECTER,MERCHANT,OWN,,,
CHINESE PAINTER,UNKNOWN,OWN,MAIL ATTENDANT,UNKNOWN,OWN,,,
CHINESE PHYSICIAN,MERCHANT,OWN,PEDDLER,LABORER,OWN,,,
COMMERCIAL AGENT,UNKNOWN,OWN,ENGLISH EDITOR,GOV,OWN,,,
STORE PROPRIETOR,MERCHANT,OWN,SEAMAN & LAUNDRYMAN,LABORER,OWN,,,
DEALER,MERCHANT,OWN,PACKER,UNKNOWN,OWN,,,
PEDDLER,LABORER,OWN,DIPLOMAT,GOV,OWN,,,
BARBER,UNKNOWN,OWN,ELECTRIC ENGINEER,UNKNOWN,OWN,,,
FURNITURE DEALER,MERCHANT,OWN,SOLICITOR,UNKNOWN,OWN,,,
CANNERY WORKER,UNKNOWN,OWN,OFFICIAL,GOV,OWN,,,
WIFE OF A DIPLOMAT,GOV,AFFILIATED ,BARRISTER AT LAW,UNKNOWN,OWN,,,
WIFE OF A LABORER,LABORER,AFFILIATED,MISSIONARY,TEACHER,OWN,,,
STEWARD,BONDED TRANSIT/ ENTRY,OWN,TRANSIENT,BONDED TRANSIT/ ENTRY,OWN,,,
RICE SALESMAN,MERCHANT,OWN,AVIATION INSTRUCTOR,TEACHER,OWN,,,
RICE DEALER,MERCHANT,OWN,DELEGATE,GOV,OWN,,,
FORTUNE TELLER,UNKNOWN,OWN,HOTEL OPERATOR,MERCHANT,OWN,,,
RAILROAD AGENT,UNKNOWN,OWN,MINISTER,TEACHER,OWN,,,
MISSIONARY,TEACHER,OWN,ENGINEER,UNKNOWN,OWN,,,
MANUFACTURER OF BEAN CAKE,MERCHANT,OWN,SHIP,BONDED TRANSIT/ ENTRY,OWN,,,
LUMBER YARD WORKER,UNKNOWN,OWN,FARMING,LABORER,OWN,,,
WIFE OF AN INTERPRETER,US CITIZEN,AFFILIATED,CHINESE OFFICIAL,GOV,OWN,,,
CHINESE MINISTER,GOV,OWN,HARDWARE,,,,,
ATTACHE TO THE LEGATION,GOV,OWN,LECTURER,TEACHER,OWN,,,
TEACHER & STUDENT,TEACHER,OWN,POULTRY MARKET,,,,,
SERVANT,GOV,AFFILIATED ,SERVANT,GOV,AFFILIATED ,,,
NEWSPAPER MANAGER,GOV,OWN,MINING ENGINEER,UNKNOWN,OWN,,,
CHINESE GOV. OFFICIAL,GOV,OWN,SURGEON,MERCHANT,OWN,,,
CHINESE OFFICIAL,GOV,OWN,PAINTER,UNKNOWN,OWN,,,
CLERGYMAN,TEACHER,OWN,TREASURY DEPT,US CITIZEN,OWN,,,
CHILD OF A DIPLOMAT,GOV,AFFILIATED ,THEATER MANAGER,BONDED TRANSIT/ ENTRY,OWN,,,
MAID OF A DIPLOMAT,GOV,AFFILIATED ,WING YEE YUEN,UNKNOWN,OWN,,,
AID TO CHINESE CONSUL,GOV,AFFILIATED ,TRANSLATOR,UNKNOWN,OWN,,,
OFFICIAL SERVANT,GOV,AFFILIATED ,WIFE OF MERCHANT,MERCHANT,AFFILIATED,,,
EVANGELIST,TEACHER,OWN,POST OFFICE,US CITIZEN,OWN,,,
SECRETARY OF CONSUL,GOV,OWN,TECHNICIAN,UNKNOWN,OWN,,,
TRANSIENT,TRAVELER,OWN,PAWNSHOP,UNKNOWN,OWN,,,
GOVERNMENT EMPLOYEE,GOV,OWN,CIGAR FACTORY,UNKNOWN,OWN,,,
CHINESE MASONIC ORGANIZER,GOV,OWN,(CHIN HIM YEES),UNKNOWN,OWN,,,
WIFE OF A MISSIONARY,TEACHER,AFFILIATED,(CHARLEY OI OR LEE SEE OI,UNKNOWN,OWN,,,
DAUGHTER OF A MISSIONARY,TEACHER,AFFILIATED,(LEE LAKE),UNKNOWN,OWN,,,
SON OF A DOMESTIC WORKER,LABORER,AFFILIATED,QUONG SANG WO CO,UNKNOWN,OWN,,,
ACTOR & ARTIST,BONDED TRANSIT/ ENTRY,OWN,HIP CHUNG WING,UNKNOWN,OWN,,,
WIFE OF AN ACTOR,BONDED TRANSIT/ ENTRY,AFFILIATED,CONSULTING ENGINEER,UNKNOWN,OWN,,,
PHYSICIAN,MERCHANT,OWN,TEMPORARY VISITOR,TRAVELER,OWN,,,
CHINESE INTERPRETER,US CITIZEN,OWN,CHING CHONG CO,UNKNOWN,OWN,,,
WIFE,UNKNOWN,AFFILIATED,ARTIST,BONDED TRANSIT/ ENTRY,OWN,,,
RESTAURANTEUR,MERCHANT,OWN,GAMBLER,UNKNOWN,OWN,,,
CIGAR MANUFACTURER-COLFAX,MERCHANT,OWN,EDITOR,GOV,OWN,,,
MACHINIST,UNKNOWN,OWN,CHINESE INTERPRETER,US CITIZEN,OWN,,,
U.S. NAVY,US CITIZEN,OWN,IMMIGRATION SERVICE,US CITIZEN,OWN,,,
ACROBATIC ACTOR,BONDED TRANSIT/ ENTRY,OWN,ACTRESS,BONDED TRANSIT/ ENTRY,OWN,,,
VAUDEVILLE ARTIST,BONDED TRANSIT/ ENTRY,OWN,TYPESETTER,UNKNOWN,OWN,,,
PREACHER,TEACHER,OWN,MUSEUM COLLECTOR,UNKNOWN,OWN,,,
ELECT. ENGINEER,UNKNOWN,OWN,VALET,UNKNOWN,OWN,,,
SON OF LEW LUNG,UNKNOWN,AFFILIATED,HOUSEWIFE,UNKNOWN,AFFILIATED,,,
EDITOR,GOV,OWN,WAITRESS,LABORER,OWN,,,
SON OF WONG HONG HE,UNKNOWN,AFFILIATED,DAUGHTER OF MERCHANT,MERCHANT,AFFILIATED,,,
GRANDSON OF A CITIZEN,US CITIZEN,AFFILIATED,CARPENTER,UNKNOWN,OWN,,,
TRUCKING,UNKNOWN,OWN,AVIATRIX,UNKNOWN,OWN,,,
CONSUL GENERAL,GOV,OWN,GOVERNMENT OFFICIAL,GOV,OWN,,,
SON OF A DOCTOR,MERCHANT,AFFILIATED,ELECTRICAL TECHNICIAN,UNKNOWN,OWN,,,
RESEARCH ASST.MINING ENGR,UNKNOWN,OWN,OFFICIAL STATUS,GOV,OWN,,,
OFFICIAL,GOV,OWN,WELDER,UNKNOWN,OWN,,,
WIFE OF TEACHER,TEACHER,AFFILIATED,U.S. GOV'T EMPLOYEE,US CITIZEN,OWN,,,
MERCHANT/TRAVELER,TRAVELER,OWN,STORE CLERK,LABORER,OWN,,,
RESTUARANT OWNER,MERCHANT,OWN,MILITARY OFFICER,US CITIZEN,OWN,,,
WIFE OF CLERGYMAN,TEACHER,AFFILIATED,BOILER MAKER,UNKNOWN,OWN,,,
TRANSIENT MERCHANT,TRAVELER,OWN,NURSE OF CHINESE OFFICIAL,GOV,AFFILIATED ,,,
TRAVELER/TRANSIT,TRAVELER,OWN,TUTOR,TEACHER,OWN,,,
RELATIVE OF MERCHANT,MERCHANT,AFFILIATED,METEROLOGIST,UNKNOWN,OWN,,,
POST MASTER,US CITIZEN,OWN,BUTLER,UNKNOWN,OWN,,,
DAUGHTER,UNKNOWN,AFFILIATED,CLERK IN BANK,LABORER,OWN,,,
SON OF TEACHER,TEACHER,AFFILIATED,CHEMIST,UNKNOWN,OWN,,,
STUDENT/TRANSIENT,TRAVELER,OWN,DENTAL SURGEON,MERCHANT,OWN,,,
